worker19,9,worker19,4
worker1,0
worker19,8,worker19,4
worker1,1
worker19,7,worker19,4
worker1,2
worker19,6,worker19,4
worker1,3
worker19,12,worker19,3
worker1,0
worker1,0,worker1,3
worker9,0
worker2,11,worker2,3
worker9,12
worker2,10,worker2,3
worker10,11,worker10,4
worker20,11,worker20,3
worker2,9,worker2,2
worker14,13,worker14,2
worker9,11
worker14,12,worker14,2
worker9,12
worker18,13,worker18,3
worker4,14
worker7,48,worker7,43
worker6,53,worker6,41
worker19,0,worker19,3
worker9,0,worker9,2
