worker19,11,worker19,3
worker1,1
worker19,11,worker19,3
worker1,1,worker1,1
worker9,13,worker9,3
worker19,11,worker19,2
worker19,11,worker19,3
worker1,1,worker1,2
worker2,11,worker2,3
worker10,12
worker2,10,worker2,3
worker10,11,worker10,3
worker11,13,worker11,3
worker7,33,worker7,41
worker10,13,worker10,3
worker15,15,worker15,3
worker18,14,worker18,3
worker10,13,worker10,2
worker11,15,worker11,3
worker15,15,worker15,4
worker11,15,worker11,3
worker4,0
worker11,15,worker11,2
worker4,0,worker4,1
worker10,13,worker10,4
worker11,15,worker11,1
worker16,4,worker16,1
worker8,4,worker8,3
worker1,0,worker1,3
worker9,0,worker9,3
worker9,0,worker9,5
worker19,0,worker19,3
worker18,8,worker18,5
worker8,8,worker8,3
worker14,0,worker14,3,worker14,3
worker18,0,worker18,2
