worker12,worker7,9.034099639
worker11,worker9,8.695607287
worker11,worker9,24.454767214
worker10,worker8,34.092825575
worker11,worker8,15.422683271
worker10,worker8,17.186253927
worker10,worker9,10.334439832
worker10,worker9,13.759016486
