worker19,worker1,5.761565732
worker9,worker19,15.943150890
worker19,worker1,7.021171227
worker2,worker10,8.392671243
worker2,worker10,14.944049609
worker11,worker7,9.495343192
worker10,worker15,82.471092479
worker18,worker10,14.349992934
worker11,worker4,5.716918350
worker11,worker4,6.931348810
worker10,worker11,11.956315366
worker16,worker8,10.354548949
worker1,worker9,6.878458862
worker9,worker19,14.368416627
worker18,worker8,18.253424099
worker14,worker18,22.364960037
worker14,worker18,23.404579782
