worker19,worker1,3.579793343
worker19,worker1,5.763939559
worker19,worker1,4.683214844
worker19,worker1,6.131985341
worker19,worker1,3.731608703
worker8,worker10,.933258614
worker6,worker13,1.024827753
worker8,worker4,.584058065
worker8,worker10,.878041572
worker2,worker9,6.257428432
worker2,worker10,71.431755498
worker20,worker2,8.719943929
worker14,worker9,5.820178710
worker14,worker9,7.153398918
worker18,worker4,10.674268092
worker8,worker15,1.846133941
worker18,worker3,2.884476214
worker16,worker15,1.941859512
worker16,worker17,1.741113527
worker19,worker18,1.627710747
worker12,worker18,1.753372736
worker8,worker18,1.598257764
worker8,worker16,1.540451066
worker7,worker6,9.151743878
worker19,worker9,9.642173424
