worker19,worker1,3.963085597
worker19,worker1,3.736797660
worker19,worker1,7.558287063
worker19,worker1,6.394113880
worker19,worker1,4.624800544
worker19,worker1,3.895270677
worker19,worker1,3.531112130
worker19,worker1,5.855721358
worker19,worker1,7.803655957
worker2,worker9,8.695462574
worker2,worker10,3.791071469
worker10,worker21,15.031031538
worker20,worker2,6.449669081
worker14,worker9,6.413696605
worker14,worker9,3.357789248
worker18,worker4,7.406494740
worker7,worker6,1.729245399
zookeeper-pod3-worker6,2.173088116
